Code,Description,Declarable
0303592900,Other,True
0303661210,For processing,True
0303661290,Other,True
0303661310,For processing,True
0303661390,Other,True
0303661911,Silver hake (Merluccius bilinearis),False
0303661980,Hake of the species Merluccius merluccius,True
0303661991,Other hake of the genus Merluccius,False
0303894000,Fish of the species Orcynopsis unicolor,True
0303895000,"Sea bream (Dentex dentex, Pagellus spp.)",True
0303895500,Gilt-head sea bream (Sparus aurata),True
0303896000,Ray's bream (Brama spp.),True
0303896500,Monkfish (Lophius spp.),True
0303893100,Of the species Sebastes marinus,True
0303893910,Of the species Sebastes mentella,True
0303893990,Other,True
0304741100,Cape hake (shallow-water hake) (Merluccius capensis) and deepwater hake (deepwater Cape hake) (Merluccius paradoxus),True
0304741510,For processing,True
0304741590,Other,True
0304741910,"North Pacific hake (Merluccius productus), for processing",True
0304741990,Other,True
0304881100,Piked dogfish (Squalus acanthias) and catsharks (Scyliorhinus spp.),True
0304881500,Porbeagle shark (Lamna nasus),True
0304881800,Blue shark (Prionace glauca),True
0304882200,Shortfin Mako shark (Isurus Oxyrinchus),True
0304882900,Other,True
0304893000,Fish of the genus Euthynnus,True
0304896000,Monkfish (Lophius spp.),True
0304892910,Of the species Sebastes mentella,True
0304892990,Other,True
0304894100,Mackerel of the species Scomber australasicus,True
0304894910,Mackerel of the species Scomber scombrus,True
0304894920,Mackerel of the species Scomber japonicus,False
0304894990,Fish of the species Orcynopsis unicolor,True
0304953000,Haddock (Melanogrammus aeglefinus),True
0304954000,Coalfish (Pollachius virens),True
0304956000,Blue whiting (Micromesistius poutassou),True
0304952510,For processing,True
0304952590,Other,True
0304992900,Redfish (Sebastes spp.),True
0304995500,Megrim (Lepidorhombus spp.),True
0304996100,Ray's bream (Brama spp.),True
0304996500,Monkfish (Lophius spp.),True
0304999912,"Of mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",False
0304999920,"Sea bream (Dentex dentex, Pagellus|spp.)",True
0304999925,Of gilt-head sea breams (Sparus aurata),True
0304999940,Of bluefin tuna (Thunnus thynnus),True
0304999950,Of Atlantic bigeye tuna (Thunnus obesus),True
0304999965,"Of flatfish (Limanda aspera, Lepidopsetta bilineata, Pleuronectes quadrituberculatus, Limanda ferruginea, Lepidopsetta polyxystra)",False
0304999970,European sea bass (Dicentrarchus labrax),True
0304999990,Other,True
0305321100,Cod of the species Gadus macrocephalus,True
0305321910,Cod of the species Gadus morhua,True
0305321990,Other,True
