"OEC ID";"HS ID";"Product Level";"Product Name";"Revision"
"6292630";"29.26.30";"HS6";"Nitrile-function compounds: fenproporex (INN) and its salts: methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane)";"HS02,HS07,HS12,HS17,HS22"
"6292640";"29.26.40";"HS6";"Nitrile-function compounds; alpha-phenylacetoacetonitrile";"HS17,HS22"
"6292690";"29.26.90";"HS6";"Nitrile-function compounds, nes";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"62927";"29.27";"HS4";"Diazo, Azo or Aoxy Compounds";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6292700";"29.27.00";"HS6";"Diazo-, azo- or azoxy-compounds";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"62928";"29.28";"HS4";"Hydrazine or Hydroxylamine Derivatives";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6292800";"29.28.00";"HS6";"Organic derivatives of hydrazine or of hydroxylamine";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"62929";"29.29";"HS4";"Other Nitrogen Compounds";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6292910";"29.29.10";"HS6";"Isocyanates";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6292990";"29.29.90";"HS6";"Compounds with other nitrogen function, nes";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"62930";"29.30";"HS4";"Organo-Sulfur Compounds";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293010";"29.30.10";"HS6";"Dithiocarbonates (xanthates)";"HS92,HS96,HS02,HS22"
"6293020";"29.30.20";"HS6";"Thiocarbamates and dithiocarbamates";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293030";"29.30.30";"HS6";"Thiuram mono-, di- or tetra-sulphides";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293040";"29.30.40";"HS6";"Methionine";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293050";"29.30.50";"HS6";"Organo-sulphur compounds: captafol (ISO) and methamidophos (ISO)";"HS07,HS12"
"6293060";"29.30.60";"HS6";"Organo-sulphur compounds; 2-(N,N-Diethylamino)ethanethiol";"HS17,HS22"
"6293070";"29.30.70";"HS6";"Organo-sulphur compounds; bis(2-hydroxyethyl)sulfide (thiodiglycol (INN))";"HS17,HS22"
"6293080";"29.30.80";"HS6";"Organo-sulphur compounds; aldicarb (ISO), captafol (ISO) and methamidophos (ISO)";"HS17,HS22"
"6293090";"29.30.90";"HS6";"Organo-sulphur compounds, nes";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"62931";"29.31";"HS4";"Other Organo-Inorganic Compounds";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293100";"29.31.00";"HS6";"Organo-inorganic compounds, nes";"HS92,HS96,HS02,HS07"
"6293110";"29.31.10";"HS6";"Organo-inorganic compounds: tetramethyl lead and tetraethyl lead";"HS12,HS17,HS22"
"6293120";"29.31.20";"HS6";"Organo-inorganic compounds: tributyltin compounds";"HS12,HS17,HS22"
"6293131";"29.31.31";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, dimethyl methylphosphonate";"HS17"
"6293132";"29.31.32";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, dimethyl propylphosphonate";"HS17"
"6293133";"29.31.33";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, diethyl ethylphosphonate";"HS17"
"6293134";"29.31.34";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, sodium-3-(hydroxysilyl)propyl methylphosphonate";"HS17"
"6293135";"29.31.35";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, 2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide";"HS17"
"6293136";"29.31.36";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate";"HS17"
"6293137";"29.31.37";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, bis[(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate]";"HS17"
"6293138";"29.31.38";"HS6";"Organo-inorganic compounds; organo-phosphorus derivatives, salt of methylphosphonic acid and (aminoiminomethyl)urea (1 : 1)";"HS17"
"6293139";"29.31.39";"HS6";"Other Organo-Phosphorus Compounds (n.e.c.)";"HS17"
"6293141";"29.31.41";"HS6";"Dimethyl methylphosphonate";"HS22"
"6293142";"29.31.42";"HS6";"Dimethyl propylphosphonate";"HS22"
"6293143";"29.31.43";"HS6";"Diethyl ethylphosphonate";"HS22"
"6293144";"29.31.44";"HS6";"Methylphosphonic acid";"HS22"
"6293145";"29.31.45";"HS6";"Methylphosphonic acid salt and urea mix";"HS22"
"6293146";"29.31.46";"HS6";"Tripropyl trioxatriphosphinane trioxide";"HS22"
"6293147";"29.31.47";"HS6";"Methyl methylphosphonate compound";"HS22"
"6293148";"29.31.48";"HS6";"3,9-Diphosphaspiro undecane dioxide";"HS22"
"6293149";"29.31.49";"HS6";"Other non-halogenated phosphorous derivatives";"HS22"
"6293151";"29.31.51";"HS6";"Methylphosphonic dichloride";"HS22"
"6293152";"29.31.52";"HS6";"Propylphosphonic dichloride";"HS22"
"6293153";"29.31.53";"HS6";"Chloropropyl methylphosphonothionate";"HS22"
"6293154";"29.31.54";"HS6";"Trichlorfon";"HS22"
"6293159";"29.31.59";"HS6";"Other halogenated phosphorous derivatives";"HS22"
"6293190";"29.31.90";"HS6";"Other Organo-Inorganic Compounds (Excl. Lead & Tributyltin)";"HS12,HS17,HS22"
"62932";"29.32";"HS4";"Oxygen Heterocyclic Compounds";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293211";"29.32.11";"HS6";"Tetrahydrofuran";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293212";"29.32.12";"HS6";"Furfural";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293213";"29.32.13";"HS6";"Furfuryl alcohol and tetrahydrofurfuryl alcohol";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293214";"29.32.14";"HS6";"Heterocyclic Compounds (Unfused Furan Ring, Oxygen Hetero-Atom, Sucralose)";"HS17,HS22"
"6293219";"29.32.19";"HS6";"Heterocyclic compounds with unfused furan ring, nes";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293220";"29.32.20";"HS6";"Heterocyclic Compounds with Oxygen & Unfused Furan Ring (Lactones)";"HS12,HS17,HS22"
"6293221";"29.32.21";"HS6";"Coumarin, methylcoumarins and ethylcoumarins";"HS92,HS96,HS02,HS07"
"6293229";"29.32.29";"HS6";"Lactones, other than coumarins";"HS92,HS96,HS02,HS07"
"6293290";"29.32.90";"HS6";"Heterocyclic compound,oxygen hetero-atom(s) only,nes";"HS92"
"6293291";"29.32.91";"HS6";"Isosafrole (Specific Oxygen Heterocyclic Compound)";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293292";"29.32.92";"HS6";"1-(1,3-Benzodioxol-5-yl)propan-2-one (oxygen-heterocyclic)";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293293";"29.32.93";"HS6";"Piperonal (Specific Oxygen Heterocyclic Compound)";"HS96,HS02,HS07,HS12,HS17,HS22"
"6293294";"29.32.94";"HS6";"Safrole (Specific Oxygen Heterocyclic Compound)";"HS96,HS02,HS07,HS12,HS17,HS22"
