Case,K,Sample,Top-1,Top-K,Precision,Recall,F1 Score
Case 01,3,1000,0.977,1,0.955,0.955,0.955
Case 03,3,1000,0.758,0.933,0.6147,0.6239,0.6177
Case 05,3,300,0.5667,0.78,0.3886,0.2936,0.3218
Case 01,7,1000,0.976,1,0.9531,0.9531,0.9531
Case 03,7,1000,0.758,0.969,0.6147,0.6239,0.6177
Case 05,7,300,0.5667,0.8767,0.3886,0.2936,0.3218
Case 01,14,1000,0.976,1,0.9531,0.9531,0.9531
Case 03,14,1000,0.758,0.984,0.6147,0.6239,0.6177
Case 05,14,300,0.57,0.9333,0.3906,0.2969,0.325
