DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS,vat_rate,amount_with_vat
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1997-07,86.3,ip,,7.0,92.34100000000001
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1997-08,82.7,ip,,19.0,98.413
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1997-09,87.3,ip,,19.0,103.88699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1997-10,92.2,ip,,7.0,98.65400000000001
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1997-11,90.0,ip,,19.0,107.1
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1997-12,92.8,ip,,19.0,110.43199999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-01,80.3,ip,,19.0,95.55699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-02,79.6,ip,,19.0,94.72399999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-03,95.4,ip,,19.0,113.526
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-04,86.7,ip,,19.0,103.173
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-05,87.9,ip,,19.0,104.601
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-06,86.1,ip,,19.0,102.45899999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-07,86.3,ip,,19.0,102.69699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-08,82.6,ip,,7.0,88.382
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-09,87.3,ip,,19.0,103.88699999999999
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-10,88.8,ip,,19.0,105.672
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-11,90.1,ip,,19.0,107.219
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1998-12,93.0,ip,,19.0,110.67
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-01,77.5,ip,,19.0,92.225
ESTAT:STS_TRTU_M(1.0),06/10/25 11:00:00,M,NETTUR,G,CA,I10,DE,1999-02,76.4,ip,,19.0,90.916
